run,kind,name,med_ms,ideal_ms,serial_ms,competition,speedup_vs_serial,classification,size_mib,rate_mib_s
long-gpu-compute,single,cpu_xform,11.354,,,,,,32.0,2818.4
long-gpu-compute,single,gpu_write,1.613,,,,,,32.0,19839.8
long-gpu-compute,single,gpu_write_raw,0.369,,,,,,9.0,24379.2
long-gpu-compute,single,gpu_write_two,2.675,,,,,,9.0,3364.9
long-gpu-compute,single,gpu_xform,5.332,,,,,,9.0,1687.8
long-gpu-compute,single,gpu_xform_kernels,3.246,,,,,,9.0,2772.9
long-gpu-compute,single,cpu_compute,373.613,,,,,,32.0,85.7
long-gpu-compute,single,gpu_compute,288.909,,,,,,32.0,110.8
long-gpu-compute,overlap,disk_load+cpu_xform,14.218,11.354,18.115,1.25,1.27,partial,,
long-gpu-compute,overlap,disk_load+gpu_xform,6.657,6.761,12.093,0.98,1.82,good,,
long-gpu-compute,overlap,disk_load+cpu_compute,375.114,373.613,380.374,1.00,1.01,poor,,
long-gpu-compute,overlap,disk_load+gpu_compute,290.630,288.909,295.670,1.01,1.02,poor,,
long-gpu-compute,overlap,cpu_xform+gpu_xform,11.236,11.354,16.686,0.99,1.49,good,,
long-gpu-compute,overlap,cpu_xform+cpu_compute,375.168,373.613,384.967,1.00,1.03,poor,,
long-gpu-compute,overlap,cpu_xform+gpu_compute,290.259,288.909,300.263,1.00,1.03,poor,,
long-gpu-compute,overlap,gpu_write+gpu_compute,296.177,288.909,290.522,1.03,0.98,poor,,
long-gpu-compute,overlap,gpu_write_raw+gpu_compute,291.750,288.909,289.278,1.01,0.99,poor,,
long-gpu-compute,overlap,gpu_write_two+gpu_compute,291.322,288.909,291.584,1.01,1.00,poor,,
long-gpu-compute,overlap,gpu_xform+gpu_compute,294.496,288.909,294.241,1.02,1.00,poor,,
long-gpu-compute,overlap,gpu_xform_kernels+gpu_compute,291.301,288.909,292.155,1.01,1.00,poor,,
long-gpu-compute,overlap,cpu_compute+gpu_compute,374.024,373.613,662.522,1.00,1.77,good,,
long-gpu-compute,overlap,disk_load+cpu_xform+gpu_xform+gpu_compute,295.905,288.909,312.356,1.02,1.06,partial,,
pipeline-slots-1,single,disk_load,6.198,,,,,,32.0,5162.7
pipeline-slots-1,single,cpu_xform,10.942,,,,,,32.0,2924.5
pipeline-slots-1,single,gpu_write,1.716,,,,,,32.0,18647.6
pipeline-slots-1,single,gpu_write_raw,0.457,,,,,,9.0,19692.3
pipeline-slots-1,single,gpu_write_two,1.851,,,,,,9.0,4863.4
pipeline-slots-1,single,gpu_xform,4.168,,,,,,9.0,2159.4
pipeline-slots-1,single,gpu_xform_kernels,3.376,,,,,,9.0,2665.6
pipeline-slots-1,single,cpu_compute,186.894,,,,,,32.0,171.2
pipeline-slots-1,single,gpu_compute,237.986,,,,,,32.0,134.5
pipeline-slots-1,pipeline,disk_load->cpu_xform->gpu_xform->gpu_compute,6331.668,,6312.577,,1.00,pipeline,,3.79
pipeline-slots-2,single,disk_load,6.851,,,,,,32.0,4670.7
pipeline-slots-2,single,cpu_xform,10.966,,,,,,32.0,2918.2
pipeline-slots-2,single,gpu_write,1.709,,,,,,32.0,18727.7
pipeline-slots-2,single,gpu_write_raw,0.457,,,,,,9.0,19714.7
pipeline-slots-2,single,gpu_write_two,1.837,,,,,,9.0,4898.4
pipeline-slots-2,single,gpu_xform,4.364,,,,,,9.0,2062.4
pipeline-slots-2,single,gpu_xform_kernels,3.207,,,,,,9.0,2806.8
pipeline-slots-2,single,cpu_compute,186.920,,,,,,32.0,171.2
pipeline-slots-2,single,gpu_compute,238.626,,,,,,32.0,134.1
pipeline-slots-2,pipeline,disk_load->cpu_xform->gpu_xform->gpu_compute,5880.422,,11238.816,,1.91,pipeline,,4.08
pipeline-slots-4,single,disk_load,6.782,,,,,,32.0,4718.6
pipeline-slots-4,single,cpu_xform,10.964,,,,,,32.0,2918.7
pipeline-slots-4,single,gpu_write,1.771,,,,,,32.0,18066.9
pipeline-slots-4,single,gpu_write_raw,0.471,,,,,,9.0,19117.2
pipeline-slots-4,single,gpu_write_two,2.373,,,,,,9.0,3793.4
pipeline-slots-4,single,gpu_xform,5.340,,,,,,9.0,1685.3
pipeline-slots-4,single,gpu_xform_kernels,3.393,,,,,,9.0,2652.7
pipeline-slots-4,single,cpu_compute,186.820,,,,,,32.0,171.3
pipeline-slots-4,single,gpu_compute,240.427,,,,,,32.0,133.1
pipeline-slots-4,pipeline,disk_load->cpu_xform->gpu_xform->gpu_compute,5861.340,,11586.574,,1.98,pipeline,,4.09
pipeline-slots-8,single,disk_load,6.927,,,,,,32.0,4619.6
pipeline-slots-8,single,cpu_xform,10.969,,,,,,32.0,2917.4
pipeline-slots-8,single,gpu_write,1.735,,,,,,32.0,18443.3
pipeline-slots-8,single,gpu_write_raw,0.470,,,,,,9.0,19142.5
pipeline-slots-8,single,gpu_write_two,2.467,,,,,,9.0,3648.0
pipeline-slots-8,single,gpu_xform,4.925,,,,,,9.0,1827.5
pipeline-slots-8,single,gpu_xform_kernels,3.142,,,,,,9.0,2864.6
pipeline-slots-8,single,cpu_compute,186.839,,,,,,32.0,171.3
pipeline-slots-8,single,gpu_compute,238.860,,,,,,32.0,134.0
pipeline-slots-8,pipeline,disk_load->cpu_xform->gpu_xform->gpu_compute,5891.281,,11547.683,,1.96,pipeline,,4.07
short-gpu-compute,single,disk_load,3.187,,,,,,16.0,5020.5
short-gpu-compute,single,cpu_xform,11.331,,,,,,32.0,2824.2
short-gpu-compute,single,gpu_write,0.848,,,,,,16.0,18877.9
short-gpu-compute,single,gpu_write_raw,0.566,,,,,,9.0,15895.5
short-gpu-compute,single,gpu_write_two,2.324,,,,,,9.0,3872.9
short-gpu-compute,single,gpu_xform,5.015,,,,,,9.0,1794.5
short-gpu-compute,single,gpu_xform_kernels,3.235,,,,,,9.0,2782.4
short-gpu-compute,single,cpu_compute,93.442,,,,,,32.0,342.5
short-gpu-compute,single,gpu_compute,78.672,,,,,,16.0,203.4
short-gpu-compute,overlap,disk_load+cpu_xform,11.106,11.331,14.518,0.98,1.31,good,,
short-gpu-compute,overlap,disk_load+gpu_xform,5.301,5.015,8.202,1.06,1.55,good,,
short-gpu-compute,overlap,disk_load+cpu_compute,93.565,93.442,96.629,1.00,1.03,poor,,
short-gpu-compute,overlap,disk_load+gpu_compute,79.830,78.672,81.859,1.01,1.03,poor,,
short-gpu-compute,overlap,cpu_xform+gpu_xform,11.157,11.331,16.346,0.98,1.47,good,,
short-gpu-compute,overlap,cpu_xform+cpu_compute,94.948,93.442,104.773,1.02,1.10,partial,,
short-gpu-compute,overlap,cpu_xform+gpu_compute,80.165,78.672,90.003,1.02,1.12,partial,,
short-gpu-compute,overlap,gpu_write+gpu_compute,82.466,78.672,79.520,1.05,0.96,poor,,
short-gpu-compute,overlap,gpu_write_raw+gpu_compute,81.340,78.672,79.239,1.03,0.97,poor,,
short-gpu-compute,overlap,gpu_write_two+gpu_compute,81.938,78.672,80.996,1.04,0.99,poor,,
short-gpu-compute,overlap,gpu_xform+gpu_compute,84.933,78.672,83.688,1.08,0.99,poor,,
short-gpu-compute,overlap,gpu_xform_kernels+gpu_compute,80.660,78.672,81.907,1.03,1.02,poor,,
short-gpu-compute,overlap,cpu_compute+gpu_compute,93.645,93.442,172.114,1.00,1.84,good,,
short-gpu-compute,overlap,disk_load+cpu_xform+gpu_xform+gpu_compute,85.261,78.672,98.205,1.08,1.15,partial,,
