id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00037,reasoning,0.000000,46.716834,47.101346,46,4,0,70.242969
req_00038,reasoning,0.000000,47.886473,48.275237,44,4,1,0.000000
req_00039,reasoning,0.000000,49.068071,49.455766,41,4,1,0.000000
req_00040,hebrew,0.000000,50.301610,50.671318,42,4,0,58.218386
req_00041,hebrew,0.000000,51.461886,51.852904,48,4,1,0.000000
req_00042,reasoning,0.000000,52.708676,53.098006,48,4,0,65.084792
req_00043,reasoning,0.000000,53.872932,54.264186,39,4,1,0.000000
req_00044,reasoning,0.000000,55.055257,55.443152,48,4,1,0.000000
req_00045,reasoning,0.000000,56.232326,56.614979,43,4,1,0.000000
req_00046,summary,0.000000,57.636089,58.025820,78,4,0,68.520312
req_00047,hebrew,0.000000,58.877927,59.264399,42,4,0,60.387292
req_00048,hebrew,0.000000,60.055015,60.440940,42,4,1,0.000000
req_00049,hebrew,0.000000,61.233175,61.613163,49,4,1,0.000000
req_00050,hebrew,0.000000,62.404739,62.787752,44,4,1,0.000000
req_00051,reasoning,0.000000,63.622818,64.001687,39,4,0,58.477136
req_00052,hebrew,0.000000,64.834469,65.217135,39,4,0,57.538020
req_00053,reasoning,0.000000,66.065327,66.446934,48,4,0,57.817500
req_00054,hebrew,0.000000,67.301570,67.688275,42,4,0,63.482291
req_00055,reasoning,0.000000,68.548733,68.938934,49,4,0,64.531354
req_00056,hebrew,0.000000,69.764577,70.154058,42,4,0,39.885208
req_00057,reasoning,0.000000,71.020831,71.405978,49,4,0,67.719948
req_00058,summary,0.000000,72.283250,72.668292,49,4,0,69.203385
req_00059,summary,0.000000,73.458194,73.849800,43,4,1,0.000000
req_00060,summary,0.000000,74.643289,75.027565,41,4,1,0.000000
req_00061,reasoning,0.000000,75.877946,76.259207,42,4,0,59.662553
req_00062,reasoning,0.000000,77.051775,77.433004,44,4,1,0.000000
req_00063,summary,0.000000,78.308939,78.698958,41,4,0,66.493645
req_00064,summary,0.000000,79.492205,79.883059,46,4,1,0.000000
req_00065,hebrew,0.000000,80.758054,81.140126,49,4,0,67.757812
req_00066,reasoning,0.000000,81.989749,82.377655,42,4,0,59.589739
req_00067,reasoning,0.000000,83.165801,83.545125,44,4,1,0.000000
req_00068,hebrew,0.000000,84.398334,84.783989,48,4,0,62.874063
req_00069,hebrew,0.000000,85.573819,85.960135,44,4,1,0.000000
req_00070,hebrew,0.000000,86.753009,87.135701,43,4,1,0.000000
req_00071,hebrew,0.000000,87.924691,88.312521,44,4,1,0.000000
req_00072,hebrew,0.000000,89.100589,89.480968,44,4,1,0.000000
req_00073,summary,0.000000,90.351724,90.735389,42,4,0,67.831927
req_00074,hebrew,0.000000,91.583068,91.978944,48,4,0,58.157344
req_00075,hebrew,0.000000,92.765777,93.152973,43,4,1,0.000000
req_00076,reasoning,0.000000,94.007314,94.396048,48,4,0,59.275625
req_00077,hebrew,0.000000,95.272633,95.660003,49,4,0,64.151354
req_00078,hebrew,0.000000,96.450093,96.838488,43,4,1,0.000000
req_00079,hebrew,0.000000,97.629792,98.019434,48,4,1,0.000000
req_00080,reasoning,0.000000,98.873493,99.256550,42,4,0,63.120000
req_00081,reasoning,0.000000,100.043797,100.411636,43,4,1,0.000000
req_00082,summary,0.000000,101.256684,101.655783,48,4,0,56.398490
req_00083,reasoning,0.000000,102.513282,102.893423,49,4,0,59.175781
req_00084,reasoning,0.000000,103.684317,104.071785,44,4,1,0.000000
req_00085,hebrew,0.000000,104.917242,105.303054,41,4,0,59.428229
req_00086,reasoning,0.000000,106.151968,106.533499,43,4,0,58.822344
req_00087,reasoning,0.000000,107.323396,107.722499,41,4,1,0.000000
req_00088,hebrew,0.000000,108.564327,108.954448,44,4,0,56.442187
req_00089,summary,0.000000,109.809512,110.198966,44,4,0,61.657656
req_00090,reasoning,0.000000,111.075372,111.467702,42,4,0,70.972916
req_00091,summary,0.000000,112.316448,112.700256,44,4,0,59.138489
req_00092,reasoning,0.000000,113.557147,113.944570,41,4,0,64.373854
req_00093,summary,0.000000,114.804748,115.200223,44,4,0,67.136303
req_00094,reasoning,0.000000,116.047946,116.435723,41,4,0,59.310573
req_00095,hebrew,0.000000,117.292608,117.681557,43,4,0,63.747709
req_00096,reasoning,0.000000,118.531695,118.926980,46,4,0,63.260834
req_00097,hebrew,0.000000,119.804056,120.188609,42,4,0,71.900312
req_00098,hebrew,0.000000,120.972110,121.355992,41,4,1,0.000000
req_00099,hebrew,0.000000,122.289617,122.680829,78,4,1,0.000000
