t_ms,B_MB
16700,2000
16800,2000
16900,2000
17000,2000
17100,2000
17200,2000
17300,2000
17400,2000
17500,2000
17600,2000
17700,2000
17800,2000
17900,2000
18000,2000
18100,2000
18200,2000
18300,2000
18400,2000
18500,2000
18600,2000
18700,2000
18800,2000
18900,2000
19000,2000
19100,2000
19200,2000
19300,2000
19400,2000
19500,2000
19600,2000
19700,2000
19800,2000
19900,2000
20000,2000
20100,2000
20200,2000
20300,2000
20400,2000
20500,2000
20600,2000
20700,2000
20800,2000
20900,2000
21000,2000
21100,2000
21200,2000
21300,2000
21400,2000
21500,2000
21600,2000
21700,2000
21800,2000
21900,2000
22000,2000
22100,2000
22200,2000
22300,2000
22400,2000
22500,2000
22600,2000
22700,2000
22800,2000
22900,2000
23000,2000
23100,2000
23200,2000
23300,2000
23400,2000
23500,2000
23600,2000
23700,2000
23800,2000
23900,2000
24000,2000
24100,2000
24200,2000
24300,2000
24400,2000
24500,2000
24600,2000
24700,2000
24800,2000
24900,2000
25000,2000
25100,2000
25200,2000
25300,2000
25400,2000
25500,2000
25600,2000
25700,2000
25800,2000
25900,2000
26000,2000
26100,2000
26200,2000
26300,2000
26400,2000
26500,2000
26600,2000
26700,2000
26800,2000
26900,2000
27000,2000
27100,2000
27200,2000
27300,2000
27400,2000
27500,2000
27600,2000
27700,2000
27800,2000
27900,2000
28000,2000
28100,2000
28200,2000
28300,2000
28400,2000
28500,2000
28600,2000
28700,2000
28800,2000
28900,2000
29000,2000
29100,2000
29200,2000
29300,2000
29400,2000
29500,2000
29600,2000
29700,2000
29800,2000
29900,2000
30000,2000
30100,2000
30200,2000
30300,2000
30400,2000
30500,2000
30600,2000
30700,2000
30800,2000
30900,2000
31000,2000
31100,2000
31200,2000
31300,2000
31400,2000
31500,2000
31600,2000
31700,2000
31800,2000
31900,2000
32000,2000
32100,2000
32200,2000
32300,2000
32400,2000
32500,2000
32600,2000
32700,2000
32800,2000
32900,2000
33000,2000
33100,2000
33200,2000
33300,2000
33400,2000
33500,2000
33600,2000
33700,2000
33800,2000
33900,2000
34000,2000
34100,2000
34200,2000
34300,2000
34400,2000
34500,2000
34600,2000
34700,2000
34800,2000
34900,2000
35000,2000
35100,2000
35200,2000
35300,2000
35400,2000
35500,2000
35600,2000
35700,2000
35800,2000
35900,2000
36000,2000
36100,2000
36200,2000
36300,2000
36400,2000
36500,2000
36600,2000
36700,2000
36800,2000
36900,2000
37000,2000
37100,2000
37200,2000
37300,2000
37400,2000
37500,2000
37600,2000
37700,2000
37800,2000
37900,2000
38000,2000
38100,2000
38200,2000
38300,2000
38400,2000
38500,2000
38600,2000
38700,2000
38800,2000
38900,2000
39000,2000
39100,2000
39200,2000
39300,2000
39400,2000
39500,2000
39600,2000
39700,2000
39800,2000
39900,2000
40000,2000
40100,2000
40200,2000
40300,2000
40400,2000
40500,2000
40600,2000
40700,2000
40800,2000
40900,2000
41000,2000
41100,2000
41200,2000
41300,2000
41400,2000
41500,2000
41600,2000
41700,2000
41800,2000
41900,2000
42000,2000
42100,2000
42200,2000
42300,2000
42400,2000
42500,2000
42600,2000
42700,2000
42800,2000
42900,2000
43000,2000
43100,2000
43200,2000
43300,2000
43400,2000
43500,2000
43600,2000
43700,2000
43800,2000
43900,2000
44000,2000
44100,2000
44200,2000
44300,2000
44400,2000
44500,2000
44600,2000
44700,2000
44800,2000
44900,2000
45000,2000
45100,2000
45200,2000
45300,2000
45400,2000
45500,2000
45600,2000
45700,2000
45800,2000
45900,2000
46000,2000
46100,2000
46200,2000
46300,2000
46400,2000
46500,2000
46600,2000
46700,2000
46800,2000
46900,2000
47000,2000
47100,2000
47200,2000
47300,2000
47400,2000
47500,2000
47600,2000
47700,2000
47800,2000
47900,2000
48000,2000
48100,2000
48200,2000
48300,2000
48400,2000
48500,2000
48600,2000
48700,2000
48800,2000
48900,2000
49000,2000
49100,2000
49200,2000
49300,2000
49400,2000
49500,2000
49600,2000
49700,2000
49800,2000
49900,2000
50000,2000
50100,2000
50200,2000
50300,2000
50400,2000
50500,2000
50600,2000
50700,2000
50800,2000
50900,2000
51000,2000
51100,2000
51200,2000
51300,2000
51400,2000
51500,2000
51600,2000
51700,2000
51800,2000
51900,2000
52000,2000
52100,2000
52200,2000
52300,2000
52400,2000
52500,2000
52600,2000
52700,2000
52800,2000
52900,2000
53000,2000
53100,2000
53200,2000
53300,2000
53400,2000
53500,2000
53600,2000
53700,2000
53800,2000
53900,2000
54000,2000
54100,2000
54200,2000
54300,2000
54400,2000
54500,2000
54600,2000
54700,2000
54800,2000
54900,2000
55000,2000
55100,2000
55200,2000
55300,2000
55400,2000
55500,2000
55600,2000
55700,2000
55800,2000
55900,2000
56000,2000
56100,2000
56200,2000
56300,2000
56400,2000
56500,2000
56600,2000
56700,2000
56800,2000
56900,2000
57000,2000
57100,2000
57200,2000
57300,2000
57400,2000
57500,2000
57600,2000
57700,2000
57800,2000
57900,2000
58000,2000
58100,2000
58200,2000
58300,2000
58400,2000
58500,2000
58600,2000
58700,2000
58800,2000
58900,2000
59000,2000
59100,2000
59200,2000
59300,2000
59400,2000
59500,2000
59600,2000
59700,2000
59800,2000
59900,2000
60000,2000
